ap_Age,ap_Education,ap_YearsOfExperience,ap_TechnicalScore,ap_InterviewScore,ap_PreviouEmployment,em_Age,em_Education,em_YearsOfExperience,em_TechnicalScore,em_InterviewScore,em_PreviouEmployment,Suitable
41,2,8,30,1,Yes,37,2,29,31,1,Yes,No
49,1,10,40,5,Yes,31,1,20,88,8,Yes,No
37,2,7,30,8,Yes,53,2,1,84,9,Yes,No
33,4,8,30,3,Yes,43,1,30,43,5,Yes,No
27,1,6,30,8,Yes,48,3,24,82,5,Yes,No
32,2,8,30,5,No,32,2,20,5,6,Yes,No
59,3,12,40,7,Yes,26,3,25,58,1,Yes,No
30,1,1,40,9,Yes,30,3,3,93,8,Yes,No
38,3,10,40,2,No,41,1,15,85,3,Yes,No
36,3,17,30,4,Yes,39,2,2,75,5,Yes,No
35,3,6,30,9,No,47,2,26,8,4,Yes,No
29,2,10,30,8,No,53,2,20,34,2,Yes,No
31,1,5,30,2,Yes,44,3,15,1,1,Yes,Yes
34,2,3,30,8,No,34,1,2,14,3,Yes,No
28,3,6,30,9,Yes,32,2,13,80,4,Yes,No
29,4,10,30,7,Yes,35,3,15,38,7,Yes,No
32,2,7,30,8,No,39,1,36,94,1,Yes,No
22,2,1,30,6,Yes,30,1,1,45,3,Yes,No
53,4,31,30,7,Yes,36,3,31,39,1,Yes,No
38,3,6,30,1,Yes,46,3,22,91,2,Yes,No
24,2,5,30,1,No,46,1,32,96,5,Yes,No
36,4,10,40,7,Yes,32,3,19,42,7,Yes,No
34,4,13,30,5,No,40,1,32,33,8,Yes,No
21,2,0,30,9,Yes,47,1,33,59,3,Yes,No
34,1,8,30,4,Yes,24,1,12,38,4,Yes,No
53,3,26,30,9,Yes,46,2,0,65,1,Yes,No
32,1,10,40,2,Yes,56,3,39,58,8,Yes,No
42,4,10,30,2,No,26,1,2,90,6,Yes,No
44,4,24,30,6,Yes,30,1,5,71,8,Yes,No
46,4,22,30,4,Yes,43,3,28,70,3,Yes,Yes
33,3,7,30,8,Yes,44,3,6,6,6,Yes,No
44,4,9,30,1,Yes,40,2,7,74,4,Yes,No
30,2,10,30,8,Yes,55,2,11,5,5,Yes,No
39,3,19,30,6,Yes,59,1,22,9,6,Yes,No
24,3,6,30,3,Yes,25,2,10,81,9,Yes,No
43,2,6,30,9,Yes,55,3,4,51,8,Yes,No
50,2,3,30,4,Yes,52,1,7,7,4,Yes,No
35,3,2,30,9,Yes,26,3,33,73,9,Yes,No
36,4,6,30,9,Yes,29,3,4,46,4,Yes,No
33,3,10,30,1,Yes,34,3,20,90,1,Yes,No
35,2,1,30,4,Yes,25,1,8,19,1,Yes,No
27,4,1,30,7,Yes,26,2,1,76,5,Yes,No
26,3,1,30,9,Yes,33,1,39,5,5,Yes,No
27,3,9,30,9,Yes,52,2,9,38,7,Yes,No
30,2,12,40,2,Yes,43,2,30,82,6,Yes,No
41,3,23,30,2,Yes,48,3,8,61,5,Yes,No
34,4,10,40,8,No,44,1,26,44,4,Yes,No
37,2,8,40,8,Yes,46,3,18,33,9,Yes,No
46,4,14,40,9,Yes,40,2,23,3,1,Yes,No
35,1,1,30,1,Yes,33,3,21,68,2,Yes,Yes
48,2,23,30,9,Yes,49,2,18,20,4,Yes,No
28,4,2,30,3,Yes,55,3,16,79,7,Yes,No
44,5,9,40,4,Yes,50,2,15,79,9,Yes,No
35,2,10,30,6,Yes,56,1,10,41,2,Yes,No
26,3,5,30,1,Yes,52,2,5,18,7,Yes,No
33,2,15,30,6,Yes,24,3,27,19,5,Yes,No
35,5,9,40,5,Yes,39,1,17,17,6,Yes,No
35,4,4,30,2,Yes,40,2,2,83,3,Yes,No
31,4,10,40,3,Yes,41,2,36,34,1,Yes,No
37,4,7,30,5,Yes,26,2,14,44,8,Yes,No
32,3,9,40,5,Yes,19,1,29,36,5,Yes,No
38,5,10,30,1,Yes,27,3,31,40,1,Yes,No
50,2,29,30,3,Yes,25,2,34,5,5,Yes,No
59,3,28,30,6,Yes,44,3,8,57,1,Yes,No
36,3,17,30,2,Yes,49,1,8,57,3,Yes,No
55,3,21,30,3,Yes,27,3,3,79,9,Yes,No
36,3,6,30,8,Yes,59,2,36,30,5,Yes,No
45,3,25,30,9,Yes,54,2,39,37,4,Yes,No
35,3,5,30,2,Yes,35,1,36,76,1,Yes,No
36,3,2,30,4,No,36,1,19,80,9,Yes,No
59,1,20,30,6,Yes,35,3,24,58,1,Yes,No
29,3,6,40,4,No,21,2,26,98,8,Yes,No
31,4,1,30,3,Yes,33,2,28,86,8,Yes,No
32,3,10,30,3,Yes,26,2,21,6,6,Yes,No
36,3,5,30,1,Yes,33,1,7,52,5,Yes,No
31,4,11,40,6,Yes,49,3,33,37,5,Yes,No
35,4,16,30,9,No,21,2,6,85,2,Yes,No
45,4,17,30,3,Yes,28,3,23,50,4,Yes,No
37,4,16,30,6,Yes,55,1,28,61,4,Yes,No
46,2,16,40,2,Yes,42,2,13,55,9,Yes,No
30,1,10,30,6,Yes,19,2,8,60,3,Yes,No
35,3,6,30,2,Yes,44,2,7,19,2,Yes,No
55,2,24,30,1,Yes,58,1,7,81,1,Yes,No
38,3,17,30,8,Yes,31,1,5,84,4,Yes,No
34,2,5,30,7,Yes,35,1,21,58,5,Yes,No
56,3,37,30,4,Yes,50,3,8,87,8,Yes,No
23,1,3,30,2,Yes,19,3,26,23,8,Yes,No
51,4,10,40,9,Yes,44,3,21,84,7,Yes,No
30,3,11,30,2,Yes,21,2,20,90,7,Yes,No
46,2,9,30,4,Yes,45,2,14,34,5,Yes,No
40,4,22,40,6,Yes,37,2,2,64,3,Yes,No
51,4,11,40,9,No,37,3,5,71,2,Yes,No
30,2,11,30,9,Yes,36,1,19,20,5,Yes,No
46,3,21,30,8,Yes,20,2,7,39,2,Yes,No
32,4,12,30,8,Yes,48,3,26,98,5,Yes,No
54,4,16,30,1,Yes,52,2,4,22,9,Yes,No
24,2,4,40,1,No,37,1,1,79,6,Yes,No
28,3,5,30,1,Yes,38,3,21,82,7,Yes,No
58,4,38,30,7,No,48,2,36,96,3,Yes,No
44,3,17,30,5,Yes,51,2,29,38,5,Yes,No
37,4,7,40,3,Yes,34,2,37,38,8,Yes,No
32,1,1,30,7,Yes,36,2,39,18,5,Yes,No
20,3,1,30,5,Yes,28,3,9,98,9,Yes,No
34,4,16,30,5,Yes,53,2,29,74,7,Yes,No
37,2,17,30,3,Yes,21,2,39,99,8,Yes,No
59,4,30,40,3,Yes,42,3,17,7,5,Yes,No
50,3,28,30,5,Yes,18,1,5,57,7,Yes,No
25,3,6,30,1,Yes,20,2,38,7,9,Yes,No
25,1,2,30,7,Yes,28,2,23,40,8,Yes,No
22,3,1,30,9,Yes,23,2,38,59,4,Yes,Yes
51,4,23,40,2,Yes,56,1,22,14,2,Yes,No
34,3,9,40,3,Yes,52,1,37,72,4,Yes,No
54,3,23,30,1,Yes,33,1,34,87,4,Yes,No
24,1,6,30,1,No,32,3,24,92,2,Yes,No
34,4,12,30,2,Yes,28,2,34,11,2,Yes,No
37,3,12,30,3,Yes,28,1,30,59,9,Yes,No
34,3,14,30,6,Yes,26,1,21,74,9,Yes,No
36,2,10,30,7,No,25,3,39,63,6,Yes,No
36,2,7,40,6,Yes,27,1,5,15,5,Yes,No
43,2,25,30,9,Yes,35,3,26,49,6,Yes,No
30,3,10,40,2,Yes,51,2,6,56,8,Yes,No
33,2,8,30,7,No,45,1,36,50,8,Yes,No
56,4,7,30,7,Yes,33,3,15,91,6,Yes,No
51,3,23,30,2,Yes,58,2,26,82,3,Yes,No
31,4,12,30,5,Yes,47,1,13,15,6,Yes,No
26,3,5,30,7,Yes,21,1,6,48,4,Yes,No
58,4,40,30,3,Yes,40,1,28,96,3,Yes,No
19,1,0,30,2,Yes,23,3,39,3,5,Yes,No
22,1,3,30,2,No,32,2,15,34,8,Yes,No
49,4,16,30,2,Yes,19,2,33,9,3,Yes,No
43,3,18,30,3,Yes,24,3,6,47,5,Yes,No
50,3,16,30,3,Yes,30,3,37,15,5,Yes,No
31,3,4,30,5,Yes,49,3,16,87,3,Yes,No
41,1,12,30,2,Yes,24,3,16,74,5,Yes,No
26,1,8,40,8,Yes,52,2,19,72,3,Yes,No
36,2,7,40,4,Yes,43,2,20,65,4,Yes,No
51,4,18,30,5,Yes,43,1,27,59,7,Yes,No
39,4,17,30,7,Yes,49,2,38,94,3,Yes,No
